Area,MTU,Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GR,2016-01-01 00:00:00,2819.0,1017.0,1.0,0.0,121.0,0.0,460.0
BZN|GR,2016-01-01 01:00:00,2537.0,1079.0,1.0,0.0,103.0,0.0,376.0
BZN|GR,2016-01-01 02:00:00,2520.0,936.0,1.0,0.0,80.0,0.0,320.0
BZN|GR,2016-01-01 03:00:00,2409.0,927.0,1.0,0.0,79.0,0.0,250.0
BZN|GR,2016-01-01 04:00:00,2329.0,932.0,1.0,0.0,82.0,0.0,207.0
BZN|GR,2016-01-01 05:00:00,2300.0,969.0,1.0,0.0,112.0,0.0,204.0
BZN|GR,2016-01-01 06:00:00,2294.0,1043.0,1.0,0.0,109.0,1.0,176.0
BZN|GR,2016-01-01 07:00:00,2307.0,1234.0,1.0,0.0,82.0,129.0,134.0
BZN|GR,2016-01-01 08:00:00,2282.0,1384.0,1.0,0.0,92.0,537.0,89.0
BZN|GR,2016-01-01 09:00:00,2293.0,1567.0,1.0,0.0,104.0,950.0,50.0
BZN|GR,2016-01-01 10:00:00,2317.0,1622.0,1.0,0.0,156.0,1295.0,43.0
BZN|GR,2016-01-01 11:00:00,2289.0,1657.0,1.0,0.0,76.0,1462.0,48.0
BZN|GR,2016-01-01 12:00:00,2275.0,1538.0,1.0,0.0,67.0,1398.0,49.0
BZN|GR,2016-01-01 13:00:00,2263.0,1571.0,1.0,0.0,66.0,1178.0,62.0
BZN|GR,2016-01-01 14:00:00,2258.0,1675.0,1.0,0.0,41.0,743.0,82.0
BZN|GR,2016-01-01 15:00:00,2247.0,2063.0,1.0,0.0,51.0,193.0,79.0
BZN|GR,2016-01-01 16:00:00,2310.0,2420.0,1.0,4.0,428.0,2.0,78.0
BZN|GR,2016-01-01 17:00:00,2412.0,2476.0,1.0,321.0,758.0,0.0,93.0
BZN|GR,2016-01-01 18:00:00,2423.0,2488.0,1.0,244.0,891.0,0.0,147.0
BZN|GR,2016-01-01 19:00:00,2423.0,2517.0,1.0,166.0,725.0,0.0,191.0
